ID;ID_ATRIBUTO;Type;SKU;Name;Published;Is featured?;Visibility in catalog;Short description;description;In stock?;Stock;Backorders allowed?;Sold individually?;Weight (lbs);Allow customer reviews?;Sale price;Regular price;Categories;Images
17;1;variable;MH01;Chaz Kangeroo Hoodie;1;0;visible;This is a variable product called a Chaz Kangeroo Hoodie;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
11;2;variation;MH01-L-Black;Chaz Kangeroo Hoodie-L-Black;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
12;3;variation;MH01-L-Gray;Chaz Kangeroo Hoodie-L-Gray;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
13;4;variation;MH01-L-Orange;Chaz Kangeroo Hoodie-L-Orange;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
8;5;variation;MH01-M-Black;Chaz Kangeroo Hoodie-M-Black;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
9;6;variation;MH01-M-Gray;Chaz Kangeroo Hoodie-M-Gray;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
10;7;variation;MH01-M-Orange;Chaz Kangeroo Hoodie-M-Orange;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
5;8;variation;MH01-S-Black;Chaz Kangeroo Hoodie-S-Black;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
6;9;variation;MH01-S-Gray;Chaz Kangeroo Hoodie-S-Gray;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
7;10;variation;MH01-S-Orange;Chaz Kangeroo Hoodie-S-Orange;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
14;11;variation;MH01-XL-Black;Chaz Kangeroo Hoodie-XL-Black;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
15;12;variation;MH01-XL-Gray;Chaz Kangeroo Hoodie-XL-Gray;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
16;13;variation;MH01-XL-Orange;Chaz Kangeroo Hoodie-XL-Orange;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
2;14;variation;MH01-XS-Black;Chaz Kangeroo Hoodie-XS-Black;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
3;15;variation;MH01-XS-Gray;Chaz Kangeroo Hoodie-XS-Gray;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
4;16;variation;MH01-XS-Orange;Chaz Kangeroo Hoodie-XS-Orange;1;0;visible;;<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull;;;;;;;;;;
